GENENAME,UniprotID,Reviewed,Evidence,Features,Start,End,Descriptions
Adamts20,P59511,Reviewed,transcript,Domain,255,464,Peptidase M12B
Adamts20,P59511,Reviewed,transcript,Domain,465,552,Disintegrin
Adamts20,P59511,Reviewed,transcript,Domain,553,608,TSP type-1 1
Adamts20,P59511,Reviewed,transcript,Domain,843,901,TSP type-1 2
Adamts20,P59511,Reviewed,transcript,Domain,906,962,TSP type-1 3
Adamts20,P59511,Reviewed,transcript,Domain,962,1015,TSP type-1 4
Adamts20,P59511,Reviewed,transcript,Domain,1017,1074,TSP type-1 5
Adamts20,P59511,Reviewed,transcript,Domain,1075,1131,TSP type-1 6
Adamts20,P59511,Reviewed,transcript,Domain,1148,1202,TSP type-1 7
Adamts20,P59511,Reviewed,transcript,Domain,1203,1260,TSP type-1 8
Adamts20,P59511,Reviewed,transcript,Domain,1300,1351,TSP type-1 9
Adamts20,P59511,Reviewed,transcript,Domain,1354,1411,TSP type-1 10
Adamts20,P59511,Reviewed,transcript,Domain,1412,1465,TSP type-1 11
Adamts20,P59511,Reviewed,transcript,Domain,1468,1526,TSP type-1 12
Adamts20,P59511,Reviewed,transcript,Domain,1527,1584,TSP type-1 13
Adamts20,P59511,Reviewed,transcript,Domain,1585,1648,TSP type-1 14
Adamts20,P59511,Reviewed,transcript,Domain,1650,1706,TSP type-1 15
Adamts20,P59511,Reviewed,transcript,Domain,1707,1906,GON
Adamts20,P59511,Reviewed,transcript,Region,721,842,Spacer
Adamts20,P59511,Reviewed,transcript,Compositional bias,609,720,Cys-rich
Adamtsl3,G3UXC7,Unreviewed,protein,Domain,909,1005,Ig-like (immunoglobulin-like)
Adamtsl3,G3UXC7,Unreviewed,protein,Domain,1198,1292,Ig-like (immunoglobulin-like)
Adamtsl3,G3UXC7,Unreviewed,protein,Domain,1298,1392,Ig-like (immunoglobulin-like)
Adamtsl3,G3UXC7,Unreviewed,protein,Domain,1670,1706,PLAC
Adck5,E9PUK2,Unreviewed,protein,Domain,189,304,ABC1
Adck5,Q80V03,Reviewed,transcript,Domain,179,419,Protein kinase
Adcy6,F8VQ52,Unreviewed,protein,Domain,377,506,Guanylate cyclase
Adcy6,F8VQ52,Unreviewed,protein,Domain,979,1118,Guanylate cyclase
Adcy6,Q01341,NA,NA,NA,NA,NA,NA
Adcy8,Q3UUN2,Unreviewed,transcript,Domain,412,539,Guanylate cyclase
Adcy8,Q3UUN2,Unreviewed,transcript,Domain,950,1090,Guanylate cyclase
Adcy8,Q3UUN2,Unreviewed,transcript,Coiled coil,898,921,NA
Adcy8,P97490,NA,NA,NA,NA,NA,NA
Adgrb1,Q3UHD1,Reviewed,protein,Domain,261,315,TSP type-1 1
Adgrb1,Q3UHD1,Reviewed,protein,Domain,354,407,TSP type-1 2
Adgrb1,Q3UHD1,Reviewed,protein,Domain,409,462,TSP type-1 3
Adgrb1,Q3UHD1,Reviewed,protein,Domain,467,520,TSP type-1 4
Adgrb1,Q3UHD1,Reviewed,protein,Domain,522,575,TSP type-1 5
Adgrb1,Q3UHD1,Reviewed,protein,Domain,881,938,GPS
Adgrb1,Q3UHD1,Reviewed,protein,Motif,231,233,NA
Adgrb1,Q3UHD1,Reviewed,protein,Compositional bias,1382,1449,Pro-rich
Adm2,Q7TNK8,NA,NA,NA,NA,NA,NA
Adsl,P54822,Reviewed,protein,Region,20,21,Substrate binding; shared with neighboring subunit
Adsl,P54822,Reviewed,protein,Region,85,87,Substrate binding
Adsl,P54822,Reviewed,protein,Region,111,112,Substrate binding
Aen,Q9CZI9,Reviewed,transcript,Domain,109,265,Exonuclease
Aen,Q9CZI9,Reviewed,transcript,Motif,25,33,Nucleolar localization signal
Aen,Q9CZI9,Reviewed,transcript,Motif,164,187,Nuclear localization signal
Agbl1,Q09M05,Reviewed,protein,Compositional bias,256,283,Asp-rich
Akap13,E9Q394,Unreviewed,protein,Domain,1754,1801,Phorbol-ester/DAG-type
Akap13,E9Q394,Unreviewed,protein,Domain,1957,2154,DH (DBL-homology)
Akap13,E9Q394,Unreviewed,protein,Domain,2194,2296,PH
Akap13,E9Q394,Unreviewed,protein,Coiled coil,1721,1755,NA
Akap13,E9Q394,Unreviewed,protein,Coiled coil,2310,2341,NA
Akap13,E9Q394,Unreviewed,protein,Coiled coil,2534,2579,NA
Akap13,E9Q394,Unreviewed,protein,Coiled coil,2583,2642,NA
Akap13,E9Q474,NA,NA,NA,NA,NA,NA
Alg12,Q8VDB2,NA,NA,NA,NA,NA,NA
Alg12,Q8VCA2,NA,NA,NA,NA,NA,NA
Alg8,Q6P8H8,NA,NA,NA,NA,NA,NA
Alpk3,D3YUT2,Unreviewed,protein,Domain,77,173,Ig-like (immunoglobulin-like)
Alpk3,D3YUT2,Unreviewed,protein,Domain,1251,1339,Ig-like (immunoglobulin-like)
Alpk3,D3YUT2,Unreviewed,protein,Domain,1367,1600,Alpha-type protein kinase
Amigo2,Q4VBE6,Unreviewed,protein,Domain,302,378,Ig-like (immunoglobulin-like)
Amigo2,Q80ZD9,Reviewed,protein,Domain,39,67,LRRNT
Amigo2,Q80ZD9,Reviewed,protein,Repeat,68,89,LRR 1
Amigo2,Q80ZD9,Reviewed,protein,Repeat,93,114,LRR 2
Amigo2,Q80ZD9,Reviewed,protein,Repeat,117,138,LRR 3
Amigo2,Q80ZD9,Reviewed,protein,Repeat,141,162,LRR 4
Amigo2,Q80ZD9,Reviewed,protein,Repeat,165,186,LRR 5
Amigo2,Q80ZD9,Reviewed,protein,Repeat,192,213,LRR 6
Amigo2,Q80ZD9,Reviewed,protein,Domain,227,283,LRRCT
Amigo2,Q80ZD9,Reviewed,protein,Domain,288,378,NA
Ankrd33,Q8BXP5,Reviewed,transcript,Repeat,29,58,ANK 1
Ankrd33,Q8BXP5,Reviewed,transcript,Repeat,64,93,ANK 2
Ankrd33,Q8BXP5,Reviewed,transcript,Repeat,98,132,ANK 3
Ankrd33,D5G1T0,Unreviewed,transcript,Domain,17,182,ANK_REP_REGION
Ankrd42,Q3V096,Reviewed,transcript,Repeat,25,54,ANK 1
Ankrd42,Q3V096,Reviewed,transcript,Repeat,59,88,ANK 2
Ankrd42,Q3V096,Reviewed,transcript,Repeat,92,121,ANK 3
Ankrd42,Q3V096,Reviewed,transcript,Repeat,125,154,ANK 4
Ankrd42,Q3V096,Reviewed,transcript,Repeat,158,187,ANK 5
Ankrd42,Q3V096,Reviewed,transcript,Repeat,191,220,ANK 6
Ankrd42,Q3V096,Reviewed,transcript,Repeat,228,257,ANK 7
Ankrd42,Q3V096,Reviewed,transcript,Repeat,263,293,ANK 8
Ankrd42,Q3V096,Reviewed,transcript,Repeat,297,326,ANK 9
Ankrd42,Q3V096,Reviewed,transcript,Repeat,330,360,ANK 10
